tx_id,user_id,date,region,merchant,amount
100048,U1338,2024-01-01,South,OnlineShop,61.67
100049,U1360,2024-01-01,South,Electronics,26.91
100050,U1197,2024-01-01,South,StoreB,42.88
100051,U1019,2024-01-01,South,Grocery,12.29
100052,U1320,2024-01-01,East,RideShare,77.4
100053,U1246,2024-01-01,North,CafeX,112.77
100054,U1160,2024-01-01,West,CafeX,45.31
100055,U1046,2024-01-01,West,Grocery,50.77
100056,U1055,2024-01-01,South,Electronics,63.32
100057,U1105,2024-01-01,South,OnlineShop,49.1
100058,U1041,2024-01-01,East,Pharmacy,26.54
100059,U1130,2024-01-01,South,RideShare,192.97
100060,U1306,2024-01-01,West,CafeX,25.69
100061,U1201,2024-01-01,East,CafeX,17.57
100062,U1341,2024-01-01,East,StoreB,81.04
100063,U1096,2024-01-01,East,StoreA,104.38
100064,U1038,2024-01-01,North,Electronics,64.59
100065,U1311,2024-01-01,South,StoreB,19.04
100066,U1158,2024-01-01,East,StoreA,89.72
100067,U1189,2024-01-01,West,Pharmacy,102.68
100068,U1025,2024-01-01,West,Electronics,126.22
100069,U1282,2024-01-01,West,StoreA,72.33
100070,U1337,2024-01-01,North,Electronics,135.36
100071,U1382,2024-01-01,West,Pharmacy,143.08
100072,U1310,2024-01-01,West,Grocery,64.99
100073,U1347,2024-01-01,East,OnlineShop,84.06
100074,U1152,2024-01-01,North,StoreB,26.82
100075,U1342,2024-01-01,South,TravelCo,124.55
100076,U1138,2024-01-01,South,StoreA,94.68
100077,U1299,2024-01-01,South,StoreA,5
100078,U1053,2024-01-01,East,Pharmacy,72.35
100079,U1128,2024-01-01,West,StoreB,5.72
100080,U1166,2024-01-01,South,Pharmacy,111.69
100081,U1020,2024-01-01,South,StoreA,60.48
100082,U1363,2024-01-01,West,CafeX,5
100083,U1226,2024-01-01,South,Pharmacy,107.98
100084,U1309,2024-01-01,East,Electronics,5
100085,U1107,2024-01-01,North,TravelCo,179.74
100086,U1088,2024-01-01,North,Electronics,28.01
100087,U1331,2024-01-01,West,RideShare,69.7
100088,U1115,2024-01-01,East,Grocery,38.28
100089,U1378,2024-01-01,South,Electronics,83.36
100090,U1306,2024-01-01,East,CafeX,5
100091,U1013,2024-01-01,South,StoreB,175.69
100092,U1108,2024-01-01,East,Pharmacy,5
100093,U1151,2024-01-01,West,Grocery,96.55
100094,U1384,2024-01-01,South,OnlineShop,95.84
100095,U1094,2024-01-01,East,StoreA,25.89
100096,U1275,2024-01-01,South,StoreA,90.71
100097,U1172,2024-01-01,South,CafeX,5
100098,U1192,2024-01-01,North,StoreA,23.44
100099,U1398,2024-01-01,West,RideShare,36.17
100100,U1248,2024-01-01,West,StoreA,13.33
100101,U1013,2024-01-01,West,TravelCo,5.77
100102,U1199,2024-01-01,West,StoreB,138.03
100103,U1131,2024-01-01,West,StoreB,70.39
100104,U1101,2024-01-01,East,StoreB,21.53
100105,U1381,2024-01-01,East,StoreB,44.75
100106,U1349,2024-01-01,South,Pharmacy,136.21
100107,U1105,2024-01-01,North,TravelCo,127.23
100108,U1332,2024-01-01,North,RideShare,134.02
100109,U1072,2024-01-01,North,StoreB,61.79
100110,U1387,2024-01-01,North,RideShare,108.14
100111,U1304,2024-01-01,East,Electronics,53.65
100112,U1325,2024-01-01,East,CafeX,14.51
100113,U1177,2024-01-01,South,Grocery,25.83
100114,U1119,2024-01-01,West,RideShare,832.47
100115,U1396,2024-01-01,West,CafeX,13.46
100116,U1084,2024-01-01,East,OnlineShop,226.85
100117,U1110,2024-01-01,North,CafeX,123.87
100118,U1078,2024-01-01,North,CafeX,57.8
100119,U1273,2024-01-01,North,RideShare,26.31
100120,U1358,2024-01-01,North,StoreB,14.84
100121,U1399,2024-01-01,South,Electronics,73.17
100122,U1295,2024-01-01,North,Electronics,137.56
100123,U1154,2024-01-01,West,StoreA,157.71
100124,U1295,2024-01-01,West,Grocery,47.22
100125,U1093,2024-01-01,East,Grocery,139.5
100126,U1368,2024-01-01,South,OnlineShop,86.89
100127,U1174,2024-01-01,East,StoreA,29.94
100128,U1059,2024-01-01,North,Grocery,112.09
100129,U1166,2024-01-01,East,OnlineShop,81.7
100130,U1199,2024-01-01,West,RideShare,45.39
100131,U1025,2024-01-01,North,Grocery,5
100132,U1111,2024-01-01,East,RideShare,141.15
100133,U1023,2024-01-01,South,StoreA,27.42
100134,U1217,2024-01-01,South,StoreA,71.49
100135,U1111,2024-01-01,South,Grocery,92.44
100136,U1127,2024-01-01,West,RideShare,168.18
100137,U1143,2024-01-01,East,Grocery,37.65
100138,U1073,2024-01-01,South,OnlineShop,5
100139,U1347,2024-01-01,North,StoreA,70.02
100140,U1125,2024-01-01,East,TravelCo,5
100141,U1286,2024-01-01,West,StoreA,5
100142,U1320,2024-01-01,East,RideShare,163.8
100143,U1313,2024-01-01,North,RideShare,73.79
100144,U1193,2024-01-01,West,Pharmacy,34.0
100145,U1108,2024-01-01,East,CafeX,141.6
100146,U1265,2024-01-01,South,StoreA,56.01
100147,U1386,2024-01-01,North,StoreB,115.99
100148,U1325,2024-01-01,South,Pharmacy,100.23
100149,U1298,2024-01-01,West,Electronics,54.58
100150,U1373,2024-01-01,East,TravelCo,122.1
100151,U1002,2024-01-01,East,Grocery,41.71
100152,U1320,2024-01-01,East,TravelCo,5
100153,U1069,2024-01-01,South,CafeX,5
100154,U1046,2024-01-01,South,StoreA,56.44
100155,U1174,2024-01-01,North,StoreA,154.98
100156,U1014,2024-01-01,South,CafeX,93.66
100157,U1165,2024-01-01,North,CafeX,48.04
100158,U1374,2024-01-01,East,TravelCo,48.95
100159,U1110,2024-01-01,East,StoreA,62.94
100160,U1124,2024-01-01,South,OnlineShop,21.29
100161,U1221,2024-01-01,West,Grocery,74.02
100162,U1364,2024-01-01,South,CafeX,37.85
100163,U1368,2024-01-01,West,StoreB,5
100164,U1365,2024-01-01,South,Pharmacy,5
100165,U1061,2024-01-01,East,Pharmacy,65.02
100166,U1072,2024-01-01,North,StoreB,65.54
100167,U1225,2024-01-01,West,Grocery,113.19
100168,U1250,2024-01-01,South,OnlineShop,97.41
100169,U1327,2024-01-01,South,CafeX,73.06
100170,U1210,2024-01-01,East,TravelCo,34.44
100171,U1200,2024-01-01,North,StoreB,45.84
100172,U1328,2024-01-01,South,Grocery,64.23
100173,U1174,2024-01-01,West,OnlineShop,10.68
100174,U1394,2024-01-01,East,TravelCo,80.29
100175,U1315,2024-01-01,South,OnlineShop,21.42
100176,U1104,2024-01-01,South,StoreB,39.31
100177,U1370,2024-01-01,East,RideShare,107.25
100178,U1257,2024-01-01,North,OnlineShop,156.88
100179,U1288,2024-01-01,North,Pharmacy,103.03
100180,U1394,2024-01-01,South,Electronics,63.29
100181,U1357,2024-01-01,East,CafeX,5
100182,U1220,2024-01-01,East,Electronics,106.68
100183,U1213,2024-01-01,West,Grocery,94.39
100184,U1144,2024-01-01,South,StoreA,140.42
100185,U1343,2024-01-01,West,Pharmacy,38.61
100186,U1029,2024-01-01,South,RideShare,106.84
100187,U1095,2024-01-01,South,CafeX,128.13
100188,U1161,2024-01-01,North,StoreA,114.1
100189,U1026,2024-01-01,South,CafeX,103.07
100190,U1203,2024-01-01,East,Grocery,23.25
100191,U1021,2024-01-01,West,Grocery,97.9
100192,U1084,2024-01-01,West,TravelCo,66.74
100193,U1060,2024-01-01,South,StoreB,54.08
100194,U1058,2024-01-01,North,StoreB,40.15
100195,U1195,2024-01-01,West,OnlineShop,84.17
100196,U1043,2024-01-01,West,StoreA,26.93
100197,U1384,2024-01-01,South,TravelCo,81.15
100198,U1264,2024-01-01,East,StoreB,5
100199,U1233,2024-01-01,East,StoreA,11.32
100200,U1210,2024-01-01,North,OnlineShop,113.53
100201,U1123,2024-01-01,West,RideShare,30.78
100202,U1399,2024-01-01,West,Electronics,76.9
100203,U1175,2024-01-01,East,TravelCo,149.16
100204,U1145,2024-01-01,East,Grocery,5
100205,U1013,2024-01-01,North,Grocery,91.11
100206,U1334,2024-01-01,West,TravelCo,64.81
100207,U1199,2024-01-01,South,CafeX,75.47
100208,U1279,2024-01-01,North,RideShare,108.38
100209,U1190,2024-01-01,West,Grocery,27.6
100210,U1054,2024-01-01,South,StoreB,25.55
100211,U1316,2024-01-01,West,RideShare,5
100212,U1213,2024-01-01,South,OnlineShop,147.93
100213,U1105,2024-01-01,East,Electronics,141.8
100214,U1306,2024-01-01,South,StoreB,78.45
100215,U1205,2024-01-01,East,StoreA,65.69
100216,U1352,2024-01-01,South,Grocery,91.68
100217,U1196,2024-01-01,East,StoreA,54.21
100218,U1010,2024-01-01,South,StoreA,78.3
100219,U1248,2024-01-01,West,StoreB,6.8
100220,U1297,2024-01-01,North,OnlineShop,48.69
100221,U1380,2024-01-01,South,StoreA,56.88
100222,U1135,2024-01-01,South,Electronics,99.07
100223,U1315,2024-01-01,East,Electronics,5
100224,U1355,2024-01-01,North,Pharmacy,57.37
100225,U1177,2024-01-01,North,Grocery,28.43
100226,U1324,2024-01-01,East,RideShare,108.68
100227,U1272,2024-01-01,West,Electronics,52.26
100228,U1297,2024-01-01,North,Grocery,39.85
100229,U1132,2024-01-01,North,CafeX,87.93
100230,U1329,2024-01-01,South,Grocery,62.88
100231,U1326,2024-01-01,West,TravelCo,47.79
100232,U1026,2024-01-01,South,TravelCo,44.86
100233,U1144,2024-01-01,West,TravelCo,5
100234,U1106,2024-01-01,South,TravelCo,130.8
100235,U1281,2024-01-01,East,Pharmacy,155.75
100236,U1295,2024-01-01,South,TravelCo,87.97
100237,U1173,2024-01-01,North,Grocery,73.77
100238,U1080,2024-01-01,West,Grocery,75.54
100239,U1268,2024-01-01,South,CafeX,143.1
100240,U1271,2024-01-01,North,TravelCo,176.89
100241,U1246,2024-01-01,East,OnlineShop,116.86
100242,U1218,2024-01-01,East,StoreA,113.5
100243,U1134,2024-01-01,North,TravelCo,71.04
100244,U1171,2024-01-01,East,Grocery,126.39
100245,U1089,2024-01-01,West,RideShare,168.62
100246,U1333,2024-01-01,South,Grocery,59.45
100247,U1312,2024-01-01,South,Grocery,96.93
100248,U1392,2024-01-01,East,Pharmacy,84.68
100249,U1242,2024-01-01,East,RideShare,37.44
100250,U1266,2024-01-01,East,TravelCo,98.89
100251,U1153,2024-01-01,North,CafeX,30.51
100252,U1336,2024-01-01,West,OnlineShop,5
100253,U1228,2024-01-01,North,StoreA,133.79
100254,U1105,2024-01-01,West,StoreB,126.02
100255,U1314,2024-01-01,West,StoreA,57.68
100256,U1291,2024-01-01,West,Electronics,43.31
100257,U1313,2024-01-01,South,CafeX,126.02
100258,U1399,2024-01-01,North,StoreA,82.55
100259,U1289,2024-01-01,South,OnlineShop,61.89
100260,U1397,2024-01-01,North,OnlineShop,5
100261,U1090,2024-01-01,East,Pharmacy,5
100262,U1276,2024-01-01,East,StoreA,112.25
100263,U1222,2024-01-01,West,Grocery,72.81
100264,U1039,2024-01-01,East,Electronics,85.97
100265,U1364,2024-01-01,North,OnlineShop,5
100266,U1115,2024-01-01,West,StoreB,5
100267,U1188,2024-01-01,West,StoreA,220.99
100268,U1369,2024-01-01,South,OnlineShop,78.47
100269,U1177,2024-01-01,North,RideShare,105.45
100270,U1073,2024-01-01,South,Grocery,105.14
100271,U1327,2024-01-01,West,CafeX,26.07
100272,U1073,2024-01-01,East,StoreB,37.99
100273,U1222,2024-01-01,North,RideShare,147.35
100274,U1186,2024-01-01,West,TravelCo,112.61
100275,U1092,2024-01-01,West,CafeX,52.12
100276,U1220,2024-01-01,North,OnlineShop,71.79
100277,U1281,2024-01-01,West,CafeX,64.22
100278,U1322,2024-01-01,South,StoreB,119.36
100279,U1227,2024-01-01,East,StoreB,5
100280,U1137,2024-01-01,North,StoreB,94.47
100281,U1118,2024-01-01,North,Grocery,232.98
100282,U1387,2024-01-01,East,Pharmacy,73.71
100283,U1261,2024-01-01,South,OnlineShop,5
100284,U1310,2024-01-01,North,TravelCo,5
100285,U1371,2024-01-01,South,Electronics,5
100286,U1014,2024-01-01,South,Pharmacy,5
100287,U1267,2024-01-01,South,OnlineShop,132.29
100288,U1104,2024-01-01,South,RideShare,5
100289,U1071,2024-01-01,South,Electronics,94.88
100290,U1259,2024-01-01,North,Pharmacy,103.99
100291,U1062,2024-01-01,West,StoreB,100.57
100292,U1183,2024-01-01,West,RideShare,28.64
100293,U1256,2024-01-01,West,CafeX,5
100294,U1061,2024-01-01,North,Electronics,26.42
100295,U1323,2024-01-01,South,OnlineShop,170.49
100296,U1358,2024-01-01,East,Pharmacy,75.51
100297,U1378,2024-01-01,East,TravelCo,97.73
100298,U1341,2024-01-01,North,TravelCo,66.48
100299,U1014,2024-01-01,West,Grocery,9.03
100300,U1190,2024-01-01,East,StoreB,24.14
100301,U1166,2024-01-01,East,Electronics,20.62
100302,U1113,2024-01-01,South,StoreA,168.9
100303,U1005,2024-01-01,West,OnlineShop,169.39
100304,U1204,2024-01-01,West,Electronics,171.73
100305,U1342,2024-01-01,North,RideShare,95.37
100306,U1272,2024-01-01,North,RideShare,55.63
100307,U1254,2024-01-01,North,Electronics,48.57
100308,U1114,2024-01-01,West,StoreA,98.14
100309,U1125,2024-01-01,South,CafeX,35.81
100310,U1279,2024-01-01,West,RideShare,137.34
100311,U1005,2024-01-01,West,Grocery,5
100312,U1046,2024-01-01,West,StoreA,31.51
100313,U1229,2024-01-01,North,RideShare,153.59
100314,U1308,2024-01-01,North,Pharmacy,70.55
100315,U1152,2024-01-01,South,StoreB,43.05
100316,U1003,2024-01-01,West,OnlineShop,148.15
100317,U1251,2024-01-01,South,TravelCo,125.09
100318,U1341,2024-01-01,East,Grocery,29.54
100319,U1175,2024-01-01,North,CafeX,26.6
100320,U1103,2024-01-01,North,TravelCo,22.33
100321,U1157,2024-01-01,North,StoreB,93.18
100322,U1286,2024-01-01,South,OnlineShop,105.28
100323,U1253,2024-01-01,North,CafeX,5
100324,U1044,2024-01-01,West,StoreA,88.34
100325,U1378,2024-01-01,West,TravelCo,95.2
100326,U1310,2024-01-01,West,CafeX,50.11
100327,U1235,2024-01-01,North,Electronics,94.04
100328,U1113,2024-01-01,East,StoreB,79.24
100329,U1123,2024-01-01,North,RideShare,77.82
100330,U1234,2024-01-01,East,StoreB,56.31
100331,U1059,2024-01-01,East,StoreB,69.49
100332,U1089,2024-01-01,South,Pharmacy,109.51
100333,U1032,2024-01-01,South,Grocery,63.13
100334,U1330,2024-01-01,West,StoreA,100.76
100335,U1070,2024-01-01,North,Grocery,48.25
100336,U1115,2024-01-01,West,CafeX,62.8
100337,U1102,2024-01-01,South,TravelCo,105.73
100338,U1274,2024-01-01,West,OnlineShop,10.28
100339,U1012,2024-01-01,North,Electronics,81.91
100340,U1149,2024-01-01,South,Electronics,56.34
100341,U1392,2024-01-01,West,CafeX,72.81
100342,U1385,2024-01-01,East,Pharmacy,41.16
100343,U1238,2024-01-01,West,Electronics,33.0
100344,U1347,2024-01-01,North,StoreB,156.12
100345,U1113,2024-01-01,North,Pharmacy,58.01
100346,U1360,2024-01-01,West,StoreB,149.45
100347,U1392,2024-01-01,South,CafeX,93.41
100348,U1364,2024-01-01,North,CafeX,83.13
100349,U1326,2024-01-01,South,StoreA,27.53
100350,U1351,2024-01-01,East,TravelCo,47.25
100351,U1346,2024-01-01,East,StoreA,5
100352,U1100,2024-01-01,North,RideShare,5
100353,U1367,2024-01-01,East,Electronics,81.63
100354,U1096,2024-01-01,South,TravelCo,48.83
100355,U1345,2024-01-01,East,CafeX,72.06
100356,U1288,2024-01-01,South,TravelCo,120.06
100357,U1306,2024-01-01,West,Grocery,115.08
100358,U1174,2024-01-01,South,StoreB,56.52
100359,U1161,2024-01-01,South,RideShare,77.37
100360,U1118,2024-01-01,North,StoreB,157.63
100361,U1013,2024-01-01,South,RideShare,164.88
100362,U1215,2024-01-01,South,TravelCo,36.89
100363,U1203,2024-01-01,North,TravelCo,186.86
100364,U1338,2024-01-01,East,OnlineShop,97.17
100365,U1302,2024-01-01,South,Grocery,38.38
100366,U1056,2024-01-01,North,Pharmacy,43.35
100367,U1166,2024-01-01,North,StoreA,108.28
100368,U1274,2024-01-01,East,CafeX,145.42
100369,U1246,2024-01-01,North,Pharmacy,5
100370,U1374,2024-01-01,West,Pharmacy,93.78
100371,U1383,2024-01-01,North,RideShare,5
100372,U1337,2024-01-01,East,OnlineShop,14.34
100373,U1001,2024-01-01,North,StoreB,52.59
100374,U1371,2024-01-01,West,Pharmacy,72.9
100375,U1013,2024-01-01,East,Pharmacy,27.96
100376,U1281,2024-01-01,South,StoreB,88.25
100377,U1372,2024-01-01,West,Pharmacy,5
100378,U1171,2024-01-01,South,StoreA,95.31
100379,U1142,2024-01-01,East,TravelCo,71.36
100380,U1085,2024-01-01,West,CafeX,102.75
100381,U1355,2024-01-01,West,Pharmacy,61.9
100382,U1361,2024-01-01,South,TravelCo,89.79
100383,U1292,2024-01-01,West,TravelCo,87.93
100384,U1159,2024-01-01,North,TravelCo,30.67
100385,U1158,2024-01-01,East,Pharmacy,14.69
100386,U1366,2024-01-01,West,StoreB,106.82
100387,U1093,2024-01-01,South,StoreA,5
100388,U1032,2024-01-01,East,RideShare,18.18
100389,U1326,2024-01-01,South,Pharmacy,146.53
100390,U1136,2024-01-01,South,StoreB,107.08
100391,U1035,2024-01-01,West,Electronics,38.5
100392,U1064,2024-01-01,North,Grocery,68.64
100393,U1114,2024-01-01,South,TravelCo,5
100394,U1265,2024-01-01,North,Pharmacy,48.24
100395,U1296,2024-01-01,West,OnlineShop,70.06
100396,U1011,2024-01-01,East,StoreA,101.05
100397,U1356,2024-01-01,West,Electronics,138.28
100398,U1115,2024-01-01,West,OnlineShop,79.71
100399,U1187,2024-01-01,North,Electronics,75.41
100400,U1043,2024-01-01,North,Electronics,114.32
100401,U1348,2024-01-01,North,StoreA,78.62
100402,U1141,2024-01-01,North,OnlineShop,5
100403,U1044,2024-01-01,East,TravelCo,114.18
100404,U1359,2024-01-01,East,OnlineShop,286.82
100405,U1037,2024-01-01,North,Pharmacy,107.45
100406,U1331,2024-01-01,South,RideShare,87.94
100407,U1200,2024-01-01,North,RideShare,122.32
100408,U1244,2024-01-01,South,CafeX,5
100409,U1141,2024-01-01,East,TravelCo,159.89
100410,U1140,2024-01-01,South,Pharmacy,14.93
100411,U1054,2024-01-01,North,Grocery,54.78
100412,U1373,2024-01-01,North,TravelCo,144.72
100413,U1136,2024-01-01,North,Electronics,81.83
100414,U1210,2024-01-01,East,Grocery,14.86
100415,U1284,2024-01-01,North,Pharmacy,45.31
100416,U1054,2024-01-01,South,StoreB,81.7
100417,U1211,2024-01-01,South,OnlineShop,55.03
100418,U1081,2024-01-01,West,RideShare,71.62
100419,U1189,2024-01-01,West,CafeX,59.66
100420,U1295,2024-01-01,North,StoreB,136.87
100421,U1274,2024-01-01,West,RideShare,104.72
100422,U1021,2024-01-01,North,Grocery,115.02
100423,U1287,2024-01-01,North,CafeX,72.33
100424,U1347,2024-01-01,North,StoreB,5
100425,U1128,2024-01-01,West,CafeX,5
100426,U1129,2024-01-01,West,StoreA,5
100427,U1057,2024-01-01,South,OnlineShop,57.92
100428,U1018,2024-01-01,North,StoreB,5
100429,U1023,2024-01-01,East,Electronics,60.27
100430,U1121,2024-01-01,East,StoreB,74.23
100431,U1398,2024-01-01,South,Pharmacy,85.96
100432,U1201,2024-01-01,West,StoreA,8.66
100433,U1087,2024-01-01,East,OnlineShop,17.72
100434,U1096,2024-01-01,West,Pharmacy,38.56
100435,U1087,2024-01-01,South,Electronics,162.1
100436,U1041,2024-01-01,North,RideShare,114.57
100437,U1063,2024-01-01,South,Grocery,90.64
100438,U1038,2024-01-01,South,StoreA,10.38
100439,U1352,2024-01-01,North,Pharmacy,73.12
100440,U1322,2024-01-01,West,TravelCo,5
100441,U1052,2024-01-01,North,Grocery,5
100442,U1118,2024-01-01,South,RideShare,39.77
100443,U1051,2024-01-01,West,StoreB,52.36
100444,U1391,2024-01-01,North,OnlineShop,139.55
100445,U1199,2024-01-01,South,CafeX,56.98
100446,U1023,2024-01-01,West,RideShare,15.67
100447,U1157,2024-01-01,East,RideShare,81.21
100448,U1102,2024-01-01,West,Grocery,127.24
100449,U1314,2024-01-01,East,StoreA,8.74
100450,U1110,2024-01-01,East,StoreB,53.01
100451,U1345,2024-01-01,South,Grocery,75.07
100452,U1173,2024-01-01,West,Pharmacy,56.06
100453,U1384,2024-01-01,West,OnlineShop,62.2
100454,U1196,2024-01-01,East,TravelCo,5
100455,U1188,2024-01-01,North,OnlineShop,18.05
100456,U1226,2024-01-01,South,StoreB,105.19
100457,U1136,2024-01-01,West,TravelCo,121.97
100458,U1288,2024-01-01,East,StoreB,18.18
100459,U1267,2024-01-01,West,TravelCo,53.19
100460,U1271,2024-01-01,West,OnlineShop,90.78
100461,U1252,2024-01-01,South,Electronics,105.64
100462,U1168,2024-01-01,West,Pharmacy,113.78
100463,U1143,2024-01-01,North,StoreB,75.48
100464,U1257,2024-01-01,North,TravelCo,5
100465,U1109,2024-01-01,North,OnlineShop,153.72
100466,U1341,2024-01-01,South,TravelCo,110.48
100467,U1021,2024-01-01,East,RideShare,5
100468,U1051,2024-01-01,South,StoreA,112.45
100469,U1269,2024-01-01,East,OnlineShop,32.06
100470,U1078,2024-01-01,South,Pharmacy,109.59
100471,U1189,2024-01-01,East,StoreB,165.42
100472,U1102,2024-01-01,North,CafeX,152.31
100473,U1108,2024-01-01,South,CafeX,23.64
100474,U1370,2024-01-01,West,StoreB,22.7
100475,U1067,2024-01-01,East,StoreB,5
100476,U1150,2024-01-01,West,Pharmacy,97.96
100477,U1142,2024-01-01,East,TravelCo,67.36
100478,U1127,2024-01-01,North,Pharmacy,128.83
100479,U1326,2024-01-01,North,Grocery,193.82
100480,U1377,2024-01-01,North,Electronics,5
100481,U1112,2024-01-01,West,Electronics,144.47
100482,U1218,2024-01-01,East,CafeX,19.17
100483,U1372,2024-01-01,North,TravelCo,84.52
100484,U1047,2024-01-01,South,Pharmacy,81.82
100485,U1367,2024-01-01,South,CafeX,35.65
100486,U1233,2024-01-01,East,TravelCo,7.43
100487,U1215,2024-01-01,North,Pharmacy,134.7
100488,U1262,2024-01-01,South,TravelCo,71.23
100489,U1101,2024-01-01,North,Grocery,44.94
100490,U1091,2024-01-01,South,OnlineShop,41.01
100491,U1399,2024-01-01,West,Electronics,91.5
100492,U1262,2024-01-01,West,StoreA,156.68
100493,U1136,2024-01-01,South,StoreA,24.45
100494,U1397,2024-01-01,West,Grocery,67.7
100495,U1283,2024-01-01,West,TravelCo,43.44
100496,U1359,2024-01-01,North,CafeX,64.84
100497,U1356,2024-01-01,North,StoreA,144.89
100498,U1394,2024-01-01,North,TravelCo,80.19
100499,U1310,2024-01-01,West,Grocery,58.51
100500,U1019,2024-01-01,North,CafeX,61.65
100501,U1045,2024-01-01,North,StoreB,31.26
100502,U1353,2024-01-01,East,CafeX,55.2
100503,U1255,2024-01-01,West,StoreA,25.71
100504,U1161,2024-01-01,East,Electronics,14.68
100505,U1293,2024-01-01,South,Pharmacy,40.38
100506,U1170,2024-01-01,South,OnlineShop,76.18
100507,U1102,2024-01-01,North,RideShare,50.3
100508,U1095,2024-01-01,North,RideShare,104.25
100509,U1247,2024-01-01,West,StoreA,120.25
100510,U1043,2024-01-01,West,Electronics,125.32
100511,U1010,2024-01-01,East,Electronics,449.88
100512,U1034,2024-01-01,North,StoreB,67.84
100513,U1397,2024-01-01,West,Grocery,29.91
100514,U1235,2024-01-01,West,CafeX,34.75
100515,U1213,2024-01-01,East,StoreB,5
100516,U1322,2024-01-01,East,Grocery,61.9
100517,U1156,2024-01-01,East,CafeX,173.38
100518,U1136,2024-01-01,West,Pharmacy,108.97
100519,U1150,2024-01-01,West,RideShare,58.13
100520,U1383,2024-01-01,North,CafeX,27.29
100521,U1353,2024-01-01,South,Grocery,134.2
100522,U1282,2024-01-01,South,RideShare,62.84
100523,U1360,2024-01-01,West,Electronics,92.6
100524,U1089,2024-01-01,East,RideShare,88.33
100525,U1128,2024-01-01,North,StoreA,123.6
100526,U1205,2024-01-01,West,TravelCo,120.14
100527,U1107,2024-01-01,West,StoreB,109.59
100528,U1008,2024-01-01,West,Pharmacy,108.64
100529,U1381,2024-01-01,West,Pharmacy,42.93
100530,U1236,2024-01-01,East,RideShare,53.97
100531,U1222,2024-01-01,East,OnlineShop,112.86
100532,U1014,2024-01-01,South,RideShare,162.07
100533,U1177,2024-01-01,South,CafeX,33.9
100534,U1227,2024-01-01,West,TravelCo,57.91
100535,U1103,2024-01-01,West,Electronics,117.04
100536,U1303,2024-01-01,East,Grocery,51.01
100537,U1101,2024-01-01,East,TravelCo,77.79
100538,U1206,2024-01-01,West,TravelCo,75.74
100539,U1186,2024-01-01,North,StoreA,72.97
100540,U1276,2024-01-01,South,StoreA,49.59
100541,U1018,2024-01-01,East,Grocery,34.0
100542,U1098,2024-01-01,East,RideShare,22.47
100543,U1011,2024-01-01,West,TravelCo,83.57
100544,U1037,2024-01-01,East,Grocery,118.46
100545,U1271,2024-01-01,North,Grocery,5
100546,U1235,2024-01-01,West,OnlineShop,71.61
100547,U1224,2024-01-01,South,StoreA,39.49
100548,U1366,2024-01-01,West,RideShare,5
100549,U1246,2024-01-01,South,Pharmacy,72.35
100550,U1063,2024-01-01,North,StoreA,75.76
100551,U1311,2024-01-01,East,TravelCo,61.51
